# queue/queue.csv
id,batch,phase,category,summary,agent_instructions,constraints,dependencies,related_files,notes,created_date
Q-020,1,10,devops,"Goal: implement actionable observability and operator response coverage for staging and production workflows. Acceptance: alert definitions, sink verification, readiness expectations, and runbooks are consistent and usable. Definition of done: observability is operable, not merely instrumented. Out of scope: UI dashboard development.",,"Do not remove rotation, redaction, or bounded queueing guarantees from telemetry sinks.","Q-019","src/observability,src/security/audit-logger.ts,src/server/dependencies.ts,docs/OPERATIONS/RUNBOOKS,docs/PLANS/implementation/L2-04_Gate-Report-and-Known-Gaps.md","granular split of former Q-010: observability implementation",2026-04-24
Q-021,1,11,devops,"Goal: inventory the deterministic release path across CI, manifests, build artifacts, and staging deployment steps. Acceptance: required automation gates, manifest validation steps, and release metadata expectations are tied to repo workflows and deploy docs. Definition of done: release automation scope is explicit and auditable. Out of scope: new platform expansion.",,"Do not disable CI checks or relax security gates during release-path analysis.","Q-020","docs/OPERATIONS/Production-Readiness-Go-No-Go-Summary.md,.github/workflows,Dockerfile,k8s,terraform,docs/PLANS/implementation/L2-08_Rollout-and-Operational-Readiness-Implementation.md","granular split of former Q-011: release inventory",2026-04-24
Q-022,1,11,devops,"Goal: implement the missing CI/CD, deploy automation, and manifest validation work needed for traceable releases. Acceptance: the repo can move from green verification to staged release using documented and repeatable automation. Definition of done: release flow has no undocumented manual gaps. Out of scope: vendor-specific platform expansion beyond the current deployment path.",,"Do not bypass failing checks to make release automation appear healthy.","Q-021","docs/OPERATIONS/Production-Readiness-Go-No-Go-Summary.md,.github/workflows,Dockerfile,k8s,terraform,package.json","granular split of former Q-011: release implementation",2026-04-24
Q-023,1,12,devops,"Goal: define the canary, rollback, and incident-response controls required for launch. Acceptance: thresholds, rollback triggers, drill expectations, and ownership paths are mapped to actual code, manifests, and runbooks. Definition of done: launch-risk controls are explicit before drill execution. Out of scope: speculative future rollout features.",,"Keep all procedures tied to real deploy and rollback paths in the repo.","Q-022","docs/PLANS/implementation/L2-08_Rollout-and-Operational-Readiness-Implementation.md,docs/OPERATIONS/RUNBOOKS/Release-and-Rollback.md,src/rollout/policy.ts,Production-Readiness-Complete-Checklist.md","granular split of former Q-012: control definition",2026-04-24
Q-024,1,12,devops,"Goal: execute or codify canary, rollback, and incident drills with evidence and clear ownership. Acceptance: rollback drills, incident simulation procedures, and mitigation pathways are documented and evidenced for launch review. Definition of done: rollout risk is operationally bounded by tested procedures. Out of scope: post-launch predictive rollout systems.",,"Do not invent procedures the repo cannot actually support.","Q-023","docs/OPERATIONS/Production-Readiness-Go-No-Go-Summary.md,docs/OPERATIONS/RUNBOOKS/Release-and-Rollback.md,src/rollout/policy.ts,Production-Readiness-Complete-Checklist.md","granular split of former Q-012: drill evidence",2026-04-24
Q-025,1,13,testing,"Goal: inventory the remaining high-value automated test gaps across memory, middleware, rollout, policy helpers, and adjacent critical modules. Acceptance: the repo has a prioritized map of missing tests tied to risk and code areas. Definition of done: quality-gap scope is explicit before adding tests. Out of scope: vanity coverage expansion.",,"Follow existing test style and avoid speculative test work disconnected from risk.","Q-024","docs/PLANS/Cleanup-and-Finalization-Checklist.md,Production-Readiness-Complete-Checklist.md,package.json,src","granular split of former Q-013: gap inventory",2026-04-24
Q-026,1,13,testing,"Goal: add the missing high-value tests and keep repo verification green. Acceptance: critical-path blind spots identified in the test inventory are covered by stable automated tests. Definition of done: the cited high-risk modules have meaningful coverage improvements. Out of scope: brittle or duplicate tests with little confidence gain.",,"Do not add fragile tests that merely mirror broader integration coverage.","Q-025","package.json,src,docs/OPERATIONS/Production-Readiness-Go-No-Go-Summary.md","granular split of former Q-013: test implementation",2026-04-24
Q-027,1,14,testing,"Goal: define the repeatable staging verification gate for readiness, SLOs, versioning, health, auth smoke tests, and cost checks. Acceptance: each staging gate has a concrete command, procedure, or evidence artifact path. Definition of done: staging validation is specified as an executable gate. Out of scope: hypothetical production-only monitoring beyond the release window.",,"Use existing routes, contracts, and runbooks as the truth source for gate definition.","Q-026","docs/OPERATIONS/Production-Readiness-Go-No-Go-Summary.md,docs/OPERATIONS/RUNBOOKS/Deployment-Runbook.md,docs/PLANS/00_Master-Delivery-Plan.md,package.json","granular split of former Q-014: gate definition",2026-04-24
Q-028,1,14,testing,"Goal: run or codify the staging verification evidence required for launch review. Acceptance: `verify:sow`, canary checks, health and version checks, authenticated query smoke tests, and cost or SLO evidence are captured in a repeatable way. Definition of done: staging gate evidence is no longer informal. Out of scope: monitoring design beyond the documented gate.",,"Do not invent criteria that diverge from the canonical contracts and runbooks.","Q-027","docs/OPERATIONS/Production-Readiness-Go-No-Go-Summary.md,docs/OPERATIONS/RUNBOOKS/Deployment-Runbook.md,package.json,Production-Readiness-Complete-Checklist.md","granular split of former Q-014: gate evidence",2026-04-24
Q-029,1,15,documentation,"Goal: inventory the consumer-facing API, examples, release notes, and client-impact documents that remain incomplete. Acceptance: all external contract docs are mapped to runtime behavior and current release expectations. Definition of done: documentation work is scoped before edits begin. Out of scope: marketing collateral.",,"Keep `src/server/routes.ts`, `openapi.yaml`, and SPEC 02 as the contract authority.","Q-028","openapi.yaml,docs/SPEC/02_API_Contracts.md,README.md,docs/API,docs/OPERATIONS/Production-Readiness-Go-No-Go-Summary.md","granular split of former Q-015: doc inventory",2026-04-24
Q-030,1,15,documentation,"Goal: publish the missing API examples, release artifacts, migration notes, and user-facing contract updates. Acceptance: consumer-visible docs align with runtime behavior and no required release communication artifact is missing. Definition of done: externally facing technical docs are launch-ready. Out of scope: non-technical launch materials.",,"Do not let OpenAPI, SPEC 02, and route behavior drift apart.","Q-029","openapi.yaml,docs/SPEC/02_API_Contracts.md,README.md,docs/API,src/server/routes.ts","granular split of former Q-015: doc completion",2026-04-24
Q-031,1,16,documentation,"Goal: inventory contradictions and stale claims across plans, gap reports, target backlog docs, and readiness checklists. Acceptance: each contradiction is tied to a canonical truth source and given a required resolution path. Definition of done: documentation cleanup scope is explicit and prioritized. Out of scope: rewriting normative architecture intent.",,"Respect code and canonical contract docs above planning prose when resolving conflicts.","Q-030","docs/OPERATIONS/Production-Readiness-Gaps-Report.md,docs/PLANS/00_Master-Delivery-Plan.md,docs/PLANS/Scope-of-Work.md,docs/TARGET/Target-State-Backlog.md,docs/TARGET/Code-Docs-Parity-Audit-Plan.md","granular split of former Q-016: contradiction inventory",2026-04-24
Q-032,1,16,documentation,"Goal: normalize statuses, terminology, config names, and implementation claims across the planning and readiness corpus. Acceptance: no major planning artifact contradicts current code or the canonical contract docs about what is implemented or deferred. Definition of done: the repo has one truthful narrative for readiness. Out of scope: changing product direction.",,"Keep runtime code, routes, OpenAPI, and SPEC 02 as the final contract authority.","Q-031","docs/OPERATIONS/Production-Readiness-Go-No-Go-Summary.md,docs/PLANS/SOW-Documentation-Implementation-Gap-Closure.md,docs/TARGET/Documentation-Finalization-Plan.md,docs/TARGET/Target-State-Backlog.md","granular split of former Q-016: normalization",2026-04-24
Q-033,1,17,devops,"Goal: define the final go/no-go evidence set, scorecard structure, residual-risk register, and sign-off artifact map. Acceptance: every required gate row points to a real evidence source or explicit accepted gap. Definition of done: readiness-package scope is complete before compilation begins. Out of scope: fabricating evidence.",,"Every readiness row must link to a real artifact, test result, or explicit accepted risk.","Q-032","docs/OPERATIONS/Production-Readiness-Go-No-Go-Summary.md,docs/PLANS/implementation/L2-99_Evidence-Checklist.md,docs/PLANS/implementation/L2-99_Decision-Memo-Template.md,Production-Readiness-Complete-Checklist.md","granular split of former Q-017: package definition",2026-04-24
Q-034,1,17,devops,"Goal: compile the formal readiness package for L2-99 and go/no-go review. Acceptance: scorecard, evidence matrix, source links, residual risks, and sign-off artifacts are assembled in one usable package. Definition of done: decision-makers can run the gate without hunting through the repo. Out of scope: changing the governance process itself.",,"Do not claim evidence that has not actually been produced or verified.","Q-033","docs/PLANS/implementation/L2-99_Evidence-Checklist.md,docs/PLANS/implementation/L2-99_Deferred-Coding-Agent-Harness-Readiness-Gate.md,docs/PLANS/implementation/L2-99_Decision-Memo-Template.md,docs/OPERATIONS/Production-Readiness-Go-No-Go-Summary.md","granular split of former Q-017: package assembly",2026-04-24
Q-035,1,18,devops,"Goal: define the immediate post-launch monitoring, audit, cost, latency, and incident follow-up checklist for the first release window. Acceptance: post-launch tasks have explicit owners, evidence paths, and timing expectations. Definition of done: first-week operational work is no longer hidden in prose. Out of scope: long-term roadmap work.",,"Keep this scoped to immediate stabilization, not generic future planning.","Q-034","docs/OPERATIONS/Production-Readiness-Go-No-Go-Summary.md,docs/OPERATIONS/RUNBOOKS,Production-Readiness-Complete-Checklist.md","granular split of former Q-018: post-launch checklist definition",2026-04-24
Q-036,1,18,devops,"Goal: integrate the post-launch checklist into the readiness package and operating runbooks. Acceptance: the release window review tasks are linked to the go/no-go package and operator procedures. Definition of done: post-launch work is tracked as executable queue-backed operations. Out of scope: product roadmap planning after stabilization.",,"Preserve runbook clarity and keep the checklist anchored to real evidence paths.","Q-035","docs/OPERATIONS/RUNBOOKS,docs/OPERATIONS/Production-Readiness-Go-No-Go-Summary.md,Production-Readiness-Complete-Checklist.md","granular split of former Q-018: runbook integration",2026-04-24
Q-037,2,1,infrastructure,"Goal: inventory the deferred async, retry, idempotency, and advanced transport items left after the production baseline is stabilized. Acceptance: each optional backlog item is mapped to contracts, runtime surfaces, and whether it remains worth implementing. Definition of done: the optional batch-2 scope is explicit. Out of scope: batch-1 launch blockers.",,"Do not expand async or streaming contracts during the inventory pass.","Q-036","Production-Readiness-Complete-Checklist.md,docs/TARGET/Target-State-Backlog.md,docs/SPEC/02_API_Contracts.md,src/queue","granular split of former Q-019: deferred inventory",2026-04-24
Q-038,2,1,infrastructure,"Goal: implement or explicitly defer the approved async and advanced transport items with matching contract updates. Acceptance: optional transport backlog items are either completed consistently or documented as deferred with rationale. Definition of done: no ambiguous future promises remain in core readiness docs. Out of scope: reopening batch-1 launch scope.",,"Keep route semantics, OpenAPI, and runtime behavior synchronized if any optional items ship.","Q-037","src/queue,docs/SPEC/02_API_Contracts.md,docs/TARGET/Target-State-Backlog.md,docs/OPERATIONS/Production-Readiness-Go-No-Go-Summary.md","granular split of former Q-019: implementation or deferral",2026-04-24
Q-039,2,2,security,"Goal: inventory the deferred compliance-sensitive engineering work around data residency, deletion flows, and evidence collection. Acceptance: each compliance-relevant behavior is mapped to the actual storage, retention, audit, and retrieval paths it would affect. Definition of done: compliance backlog scope is concrete. Out of scope: legal conclusions or certification claims.",,"Keep compliance analysis aligned with real data paths and retention behavior.","Q-038","Production-Readiness-Complete-Checklist.md,docs/OPERATIONS/Production-Readiness-Go-No-Go-Summary.md,docs/TARGET/Target-State-Backlog.md,src/memory,src/security","granular split of former Q-020: compliance inventory",2026-04-24
Q-040,2,2,security,"Goal: convert the approved compliance-sensitive items into explicit engineering and documentation work with bounded scope. Acceptance: deferred compliance prose becomes a clear backlog with owners, evidence needs, and implementation targets. Definition of done: compliance work is no longer buried in scattered docs. Out of scope: external legal approval work.",,"Do not invent compliance guarantees that the storage and audit paths cannot support.","Q-039","docs/PLANS/implementation/L2-08_Rollout-and-Operational-Readiness-Implementation.md,docs/TARGET/Target-State-Backlog.md,docs/OPERATIONS/Production-Readiness-Go-No-Go-Summary.md","granular split of former Q-020: backlog conversion",2026-04-24
Q-041,2,3,refactor,"Goal: inventory the remaining repo-hygiene and developer-experience cleanup items that still affect production supportability. Acceptance: logging abstraction, release hygiene, and miscellaneous cleanup debt are separated from launch-critical work and tied to concrete files. Definition of done: hygiene debt is explicitly bounded. Out of scope: unrelated refactors.",,"Do not refactor runtime behavior blindly while identifying hygiene work.","Q-040","docs/PLANS/Cleanup-and-Finalization-Checklist.md,Production-Readiness-Complete-Checklist.md,README.md,package.json,scripts","granular split of former Q-021: hygiene inventory",2026-04-24
Q-042,2,3,refactor,"Goal: queue or complete the approved repo-hygiene cleanup items and mark the rest as intentionally deferred with rationale. Acceptance: optional cleanup work no longer hides inside broad prose and each item has an explicit disposition. Definition of done: supportability-related hygiene debt is transparently managed. Out of scope: broad unrelated codebase refactors.",,"Preserve runtime behavior and documented release expectations while cleaning up repo hygiene.","Q-041","docs/PLANS/Cleanup-and-Finalization-Checklist.md,README.md,package.json,scripts,docs/OPERATIONS/Production-Readiness-Go-No-Go-Summary.md","granular split of former Q-021: disposition",2026-04-24
